,id,name,lat,lng,checkinsCount,tipCount,usersCount
82280,4ed4bcab7beb5f8ffac8e762,Velo Vietnamese,51.50428829775077,-0.08245110511779785,475,12,245
82283,50645e45e4b09dcdf8a6db7e,Chicken Cottage,51.50421840845612,-0.08163037453437531,19,0,17
82284,4ad992c3f964a5204f1a21e3,The Stress Exchange,51.504131,-0.081569,169,3,47
82285,512e1023e4b0a234205779c2,Red Bull London HQ,51.50344443410281,-0.08210320563459438,16,0,11
82286,4bbcb926593fef3b83830256,Itsu,51.50505021182544,-0.08137447979054677,517,2,213
82287,52134c2111d2600b082affc9,Driving Theory Test Centre - Southwark,51.503273010253906,-0.08200988173484802,4,0,4
82289,4fdaf741e4b0a26f1838ec8a,Emerge Poverty Free,51.503612,-0.082271,2,0,1
82307,50ca0c5ce4b047cd3b368377,Gibbon's Rent,51.50332510945221,-0.08200562120527188,3,0,3
82310,5241b65c498eab165b8c4850,Pearson VUE DSA Theory Centre,51.50333537811444,-0.08259374054667461,5,0,5
82311,4b501369f964a520471c27e3,Rooneys Boxing Gym,51.50353,-0.08266,115,0,36
82312,52e078c5498e02c0861f51f9,Cecil's,51.5033272,-0.0821258,2,0,2
82313,4c9b86fda004a1cd4cc0516e,#Southwark Igrejinha,51.503091,-0.081932,3,0,2
82318,4f7c1996e4b076d3e75b200d,AC Generations,51.503170013427734,-0.08128509670495987,1,0,1
82319,51cf180f454aafc9f73d90fa,MaCoco Raw Cocoa Beans London,51.50345351147583,-0.08235454559326172,0,1,0
82321,4adc2071f964a5208a2b21e3,Hilton London Tower Bridge,51.50465559886706,-0.08262276649475098,2965,26,1519
82331,4b7e5e4df964a520a2ea2fe3,Caffè Nero,51.504735519318196,-0.08355271947013129,1191,12,673
82336,4cb02bf3db32f04d1c92bd4d,Tokei Martial Arts and Fitness Centre,51.50360786216544,-0.08395620706224784,232,1,40
82338,4af9a507f964a520d41222e3,The Shipwrights Arms,51.504711,-0.083156,1235,14,892
82341,4bc5a1644a9aa593daab067b,Marks & Spencer Simply Food,51.505034,-0.083043,1046,5,404
82343,527ce6f911d2120c4e21b9b4,Leon,51.50493572547981,-0.08336963124729377,56,1,42
82344,4ae2c2c9f964a5206d8f21e3,Suchard Thai Restaurant,51.504608,-0.082651,394,8,290
82358,4d9c0c0d81f6f04df2d281aa,Platform 1,51.50460885161667,-0.08395850658416748,2764,6,775
82364,4bd71e846f6495213af971ec,Platform 4,51.50448196598106,-0.08423209190368652,3409,12,1244
82366,4c03bdcd39d476b0777530a7,Platform 3,51.504545408843036,-0.08415699005126953,1206,3,289
82371,4ca768faa6e08cfa2d588494,Platform 2,51.504575460694184,-0.08404433727264404,1176,2,285
82375,51595384e4b00a2d6bd98395,Silicon Bridges,51.50447086168915,-0.08453474364743106,228,1,11
82379,4d71299e7726a1cdb0324ed2,River Borough,51.503883290974386,-0.08444510711812117,226,0,43
82380,4acee9a4f964a5200ed220e3,London Bridge Railway Station (LBG),51.50489601254001,-0.08587360382080078,72005,146,15119
